September 2020 - August 2021 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99,Rank out of 126 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",60.16,97,6.63,53.53
AL-003,"Baldwin County",77.26,115,15.37,61.89
AL-005,"Barbour County",68.11,122,15.83,52.28
AL-007,"Bibb County",64.2,109,8.96,55.24
AL-009,"Blount County",71.87,121,16.27,55.6
AL-011,"Bullock County",64.65,119,12.59,52.06
AL-013,"Butler County",66.3,111,10.62,55.68
AL-015,"Calhoun County",60.89,102,7.51,53.38
AL-017,"Chambers County",60.78,105,7.47,53.31
AL-019,"Cherokee County",67.66,119,14.09,53.57
AL-021,"Chilton County",61.44,105,7.21,54.23
AL-023,"Choctaw County",69.37,116,12.52,56.85
AL-025,"Clarke County",67.53,108,9.62,57.91
AL-027,"Clay County",62.99,104,7.16,55.83
AL-029,"Cleburne County",62.89,105,8.96,53.93
AL-031,"Coffee County",70.02,114,13.85,56.17
AL-033,"Colbert County",66.57,113,13.0,53.57
AL-035,"Conecuh County",73.55,117,15.55,58
AL-037,"Coosa County",63.62,109,8.97,54.65
AL-039,"Covington County",73.38,117,14.76,58.62
AL-041,"Crenshaw County",69.1,119,13.77,55.33
AL-043,"Cullman County",72.13,122,16.01,56.12
AL-045,"Dale County",70.39,119,16.01,54.38
AL-047,"Dallas County",58.19,95,5.37,52.82
AL-049,"DeKalb County",70.26,120,14.77,55.49
AL-051,"Elmore County",62.18,107,8.72,53.46
AL-053,"Escambia County",77.53,120,17.1,60.43
AL-055,"Etowah County",66.42,114,11.96,54.46
AL-057,"Fayette County",71.85,117,15.58,56.27
AL-059,"Franklin County",69.16,117,14.45,54.71
AL-061,"Geneva County",74.91,119,17.72,57.19
AL-063,"Greene County",61.87,107,8.91,52.96
AL-065,"Hale County",58.44,90,4.69,53.75
AL-067,"Henry County",72.76,124,19.43,53.33
AL-069,"Houston County",76.89,126,22.75,54.14
AL-071,"Jackson County",68.36,115,13.61,54.75
AL-073,"Jefferson County",66.68,113,11.11,55.57
AL-075,"Lamar County",72.38,119,17.43,54.95
AL-077,"Lauderdale County",66.58,114,12.57,54.01
AL-079,"Lawrence County",67.66,117,14.23,53.43
AL-081,"Lee County",62.27,111,9.99,52.28
AL-083,"Limestone County",65.9,116,12.16,53.74
AL-085,"Lowndes County",59.22,101,6.87,52.35
AL-087,"Macon County",62.05,113,10.34,51.71
AL-089,"Madison County",67.96,116,13.59,54.37
AL-091,"Marengo County",56.15,77,1.96,54.19
AL-093,"Marion County",72.68,119,17.08,55.6
AL-095,"Marshall County",70.61,122,16.19,54.42
AL-097,"Mobile County",77.41,113,14.92,62.49
AL-099,"Monroe County",69.5,115,12.25,57.25
AL-101,"Montgomery County",61.85,112,9.74,52.11
AL-103,"Morgan County",68.6,119,14.62,53.98
AL-105,"Perry County",57.62,90,4.0,53.62
AL-107,"Pickens County",71.9,121,18.51,53.39
AL-109,"Pike County",69.96,122,15.61,54.35
AL-111,"Randolph County",61.87,99,7.2,54.67
AL-113,"Russell County",60.4,110,10.55,49.85
AL-115,"St. Clair County",69.07,119,13.92,55.15
AL-117,"Shelby County",68.31,116,13.39,54.92
AL-119,"Sumter County",59.21,91,5.11,54.1
AL-121,"Talladega County",63.26,107,9.53,53.73
AL-123,"Tallapoosa County",61.38,107,7.15,54.23
AL-125,"Tuscaloosa County",66.85,111,11.42,55.43
AL-127,"Walker County",69.42,117,12.86,56.56
AL-129,"Washington County",75.47,118,15.77,59.7
AL-131,"Wilcox County",60.36,100,6.09,54.27
AL-133,"Winston County",72.08,119,15.64,56.44
AZ-001,"Apache County",9.78,19,-3.66,13.44
AZ-003,"Cochise County",11.31,26,-3.29,14.6
AZ-005,"Coconino County",9.31,12,-4.26,13.57
AZ-007,"Gila County",17.2,37,-3.5,20.7
AZ-009,"Graham County",12.04,33,-3.19,15.23
AZ-011,"Greenlee County",13.37,26,-3.4,16.77
AZ-012,"La Paz County",3.82,27,-2.14,5.96
AZ-013,"Maricopa County",7.82,54,-1.42,9.24
AZ-015,"Mohave County",6.19,9,-4.37,10.56
AZ-017,"Navajo County",8.54,15,-3.8,12.34
AZ-019,"Pima County",13.09,86,0.62,12.47
AZ-021,"Pinal County",10.9,57,-1.6,12.5
AZ-023,"Santa Cruz County",15.83,37,-2.56,18.39
AZ-025,"Yavapai County",11.19,13,-5.06,16.25
AZ-027,"Yuma County",4.48,62,-0.39,4.87
AR-001,"Arkansas County",56.95,93,5.94,51.01
AR-003,"Ashley County",64.32,107,11.29,53.03
AR-005,"Baxter County",50.38,98,6.99,43.39
AR-007,"Benton County",49.86,88,4.55,45.31
AR-009,"Boone County",50.36,100,6.69,43.67
AR-011,"Bradley County",67.19,112,15.21,51.98
AR-013,"Calhoun County",67.59,114,15.97,51.62
AR-015,"Carroll County",50.36,98,5.68,44.68
AR-017,"Chicot County",64.97,107,12.06,52.91
AR-019,"Clark County",58.02,98,6.45,51.57
AR-021,"Clay County",52.21,88,4.42,47.79
AR-023,"Cleburne County",50.82,67,0.82,50
AR-025,"Cleveland County",66.27,113,14.72,51.55
AR-027,"Columbia County",63.2,111,12.06,51.14
AR-029,"Conway County",49.5,69,0.5,49
AR-031,"Craighead County",52.51,84,4.01,48.5
AR-033,"Crawford County",53.09,87,5.4,47.69
AR-035,"Crittenden County",53.63,82,3.66,49.97
AR-037,"Cross County",51.45,70,1.11,50.34
AR-039,"Dallas County",62.39,105,11.1,51.29
AR-041,"Desha County",63.55,110,12.1,51.45
AR-043,"Drew County",66.08,109,13.49,52.59
AR-045,"Faulkner County",48.84,53,-1.43,50.27
AR-047,"Franklin County",55.02,95,6.94,48.08
AR-049,"Fulton County",46.69,71,1.46,45.23
AR-051,"Garland County",54.72,78,2.13,52.59
AR-053,"Grant County",56.99,91,5.5,51.49
AR-055,"Greene County",52.85,92,5.1,47.75
AR-057,"Hempstead County",59.87,103,9.28,50.59
AR-059,"Hot Spring County",54.92,78,2.59,52.33
AR-061,"Howard County",62.82,107,10.84,51.98
AR-063,"Independence County",50.37,76,2.03,48.34
AR-065,"Izard County",45.84,62,0.12,45.72
AR-067,"Jackson County",52.12,81,3.43,48.69
AR-069,"Jefferson County",58.4,99,7.21,51.19
AR-071,"Johnson County",54.12,87,4.7,49.42
AR-073,"Lafayette County",64.61,113,14.71,49.9
AR-075,"Lawrence County",49.48,75,2.06,47.42
AR-077,"Lee County",57.08,95,6.01,51.07
AR-079,"Lincoln County",65.83,113,13.62,52.21
AR-081,"Little River County",59.44,105,10.76,48.68
AR-083,"Logan County",52.07,91,5.26,46.81
AR-085,"Lonoke County",51.61,74,1.56,50.05
AR-087,"Madison County",52.27,94,4.62,47.65
AR-089,"Marion County",51.55,109,8.59,42.96
AR-091,"Miller County",60.05,109,11.11,48.94
AR-093,"Mississippi County",50.46,76,1.89,48.57
AR-095,"Monroe County",52.43,76,1.88,50.55
AR-097,"Montgomery County",60.76,96,8.32,52.44
AR-099,"Nevada County",58.55,99,7.44,51.11
AR-101,"Newton County",51.72,80,3.51,48.21
AR-103,"Ouachita County",61.94,108,10.57,51.37
AR-105,"Perry County",47.44,53,-1.52,48.96
AR-107,"Phillips County",56.31,89,4.63,51.68
AR-109,"Pike County",65.64,113,12.72,52.92
AR-111,"Poinsett County",51.66,75,2.55,49.11
AR-113,"Polk County",61.97,98,9.17,52.8
AR-115,"Pope County",53.43,88,4.07,49.36
AR-117,"Prairie County",52.42,80,2.33,50.09
AR-119,"Pulaski County",49.34,58,-1.33,50.67
AR-121,"Randolph County",47.86,71,0.66,47.2
AR-123,"St. Francis County",53.73,78,2.86,50.87
AR-125,"Saline County",53.49,74,1.36,52.13
AR-127,"Scott County",57.14,99,8.79,48.35
AR-129,"Searcy County",52.45,98,6.02,46.43
AR-131,"Sebastian County",57.9,112,12.52,45.38
AR-133,"Sevier County",63.63,112,13.03,50.6
AR-135,"Sharp County",48.44,69,1.5,46.94
AR-137,"Stone County",50.77,78,3.18,47.59
AR-139,"Union County",65.68,109,13.48,52.2
AR-141,"Van Buren County",54.32,85,3.8,50.52
AR-143,"Washington County",49.63,76,2.54,47.09
AR-145,"White County",49.66,61,-0.53,50.19
AR-147,"Woodruff County",48.84,58,-1.05,49.89
AR-149,"Yell County",49.18,71,0.95,48.23
CA-001,"Alameda County",7.65,2,-11.15,18.8
CA-003,"Alpine County",21.86,9,-14.37,36.23
CA-005,"Amador County",18.19,4,-17.11,35.3
CA-007,"Butte County",18.95,2,-25.55,44.5
CA-009,"Calaveras County",18.6,4,-15.75,34.35
CA-011,"Colusa County",7.96,1,-14.09,22.05
CA-013,"Contra Costa County",6.64,1,-11.9,18.54
CA-015,"Del Norte County",61.91,25,-18.2,80.11
CA-017,"El Dorado County",22.52,4,-22.21,44.73
CA-019,"Fresno County",8.77,2,-10.88,19.65
CA-021,"Glenn County",8.46,1,-17.47,25.93
CA-023,"Humboldt County",39.12,9,-24.38,63.5
CA-025,"Imperial County",1.9,28,-1.48,3.38
CA-027,"Inyo County",2.51,3,-3.75,6.26
CA-029,"Kern County",3.27,1,-5.81,9.08
CA-031,"Kings County",3.86,6,-3.77,7.63
CA-033,"Lake County",18.29,2,-25.27,43.56
CA-035,"Lassen County",10.79,3,-9.66,20.45
CA-037,"Los Angeles County",4.88,2,-10.73,15.61
CA-039,"Madera County",10.09,2,-13.09,23.18
CA-041,"Marin County",12.22,1,-23.35,35.57
CA-043,"Mariposa County",14.37,3,-18.53,32.9
CA-045,"Mendocino County",23.99,3,-27.73,51.72
CA-047,"Merced County",6.46,9,-4.84,11.3
CA-049,"Modoc County",9.83,2,-8.28,18.11
CA-051,"Mono County",8.76,3,-6.91,15.67
CA-053,"Monterey County",11.81,10,-8.36,20.17
CA-055,"Napa County",12.04,2,-19.12,31.16
CA-057,"Nevada County",24.18,3,-26.29,50.47
CA-059,"Orange County",5.26,6,-8.33,13.59
CA-061,"Placer County",21.95,3,-23.92,45.87
CA-063,"Plumas County",19.84,3,-21.49,41.33
CA-065,"Riverside County",3.61,5,-4.9,8.51
CA-067,"Sacramento County",7.6,2,-11.13,18.73
CA-069,"San Benito County",9.31,9,-7.49,16.8
CA-071,"San Bernardino County",2.47,3,-4.41,6.88
CA-073,"San Diego County",7.85,15,-6.46,14.31
CA-075,"San Francisco County",9.76,2,-14.61,24.37
CA-077,"San Joaquin County",6.93,3,-7.15,14.08
CA-079,"San Luis Obispo County",9.19,9,-8.03,17.22
CA-081,"San Mateo County",10.95,1,-17.8,28.75
CA-083,"Santa Barbara County",9.15,8,-9.74,18.89
CA-085,"Santa Clara County",11.9,6,-11.28,23.18
CA-087,"Santa Cruz County",16.33,5,-16.82,33.15
CA-089,"Shasta County",19.24,3,-22.76,42
CA-091,"Sierra County",21.22,3,-24.64,45.86
CA-093,"Siskiyou County",22.02,3,-16.88,38.9
CA-095,"Solano County",7.47,1,-12.37,19.84
CA-097,"Sonoma County",16.72,2,-25.41,42.13
CA-099,"Stanislaus County",7.67,8,-6.01,13.68
CA-101,"Sutter County",7.02,1,-12.0,19.02
CA-103,"Tehama County",15.89,2,-20.7,36.59
CA-105,"Trinity County",29.02,3,-28.58,57.6
CA-107,"Tulare County",8.1,1,-13.8,21.9
CA-109,"Tuolumne County",21.85,4,-19.11,40.96
CA-111,"Ventura County",5.48,1,-14.98,20.46
CA-113,"Yolo County",7.59,2,-12.46,20.05
CA-115,"Yuba County",16.57,2,-21.23,37.8
CO-001,"Adams County",15.2,65,0.05,15.15
CO-003,"Alamosa County",10.82,78,0.45,10.37
CO-005,"Arapahoe County",15.9,69,0.01,15.89
CO-007,"Archuleta County",18.87,30,-4.51,23.38
CO-009,"Baca County",15.55,57,-0.4,15.95
CO-011,"Bent County",12.75,47,-1.1,13.85
CO-013,"Boulder County",20.99,80,0.93,20.06
CO-014,"Broomfield County",16.55,97,1.83,14.72
CO-015,"Chaffee County",17.95,72,0.34,17.61
CO-017,"Cheyenne County",13.49,38,-1.85,15.34
CO-019,"Clear Creek County",25.72,58,-0.29,26.01
CO-021,"Conejos County",17.03,62,-0.19,17.22
CO-023,"Costilla County",17.86,72,0.28,17.58
CO-025,"Crowley County",12.09,74,0.12,11.97
CO-027,"Custer County",21.37,80,0.91,20.46
CO-029,"Delta County",13.9,21,-3.78,17.68
CO-031,"Denver County",15.27,75,0.27,15
CO-033,"Dolores County",17.56,22,-5.78,23.34
CO-035,"Douglas County",17.86,64,-0.36,18.22
CO-037,"Eagle County",18.51,7,-5.52,24.03
CO-039,"Elbert County",16.12,60,-0.43,16.55
CO-041,"El Paso County",16.73,77,0.72,16.01
CO-043,"Fremont County",15.76,95,1.48,14.28
CO-045,"Garfield County",15.78,6,-6.73,22.51
CO-047,"Gilpin County",23.42,77,0.56,22.86
CO-049,"Grand County",18.67,17,-3.69,22.36
CO-051,"Gunnison County",19.56,24,-3.68,23.24
CO-053,"Hinsdale County",25.1,24,-5.8,30.9
CO-055,"Huerfano County",19.63,90,1.76,17.87
CO-057,"Jackson County",18.26,12,-4.85,23.11
CO-059,"Jefferson County",18.74,77,0.56,18.18
CO-061,"Kiowa County",14.25,63,0.05,14.2
CO-063,"Kit Carson County",14.55,31,-2.25,16.8
CO-065,"Lake County",22.35,38,-1.88,24.23
CO-067,"La Plata County",16.59,16,-6.82,23.41
CO-069,"Larimer County",20.06,62,0.12,19.94
CO-071,"Las Animas County",16.66,73,0.41,16.25
CO-073,"Lincoln County",13.07,45,-1.18,14.25
CO-075,"Logan County",14.82,39,-1.78,16.6
CO-077,"Mesa County",12.61,17,-4.29,16.9
CO-079,"Mineral County",24.67,26,-5.88,30.55
CO-081,"Moffat County",10.27,5,-4.58,14.85
CO-083,"Montezuma County",12.17,21,-5.01,17.18
CO-085,"Montrose County",12.17,23,-3.34,15.51
CO-087,"Morgan County",12.92,33,-1.57,14.49
CO-089,"Otero County",12.35,52,-1.02,13.37
CO-091,"Ouray County",18.26,21,-4.09,22.35
CO-093,"Park County",18.52,87,1.15,17.37
CO-095,"Phillips County",18.31,74,0.42,17.89
CO-097,"Pitkin County",23.71,18,-5.44,29.15
CO-099,"Prowers County",15.34,66,0.2,15.14
CO-101,"Pueblo County",16.02,104,2.47,13.55
CO-103,"Rio Blanco County",14.02,10,-4.83,18.85
CO-105,"Rio Grande County",14.3,65,-0.28,14.58
CO-107,"Routt County",17.33,4,-7.71,25.04
CO-109,"Saguache County",15.22,39,-1.4,16.62
CO-111,"San Juan County",32.33,23,-9.41,41.74
CO-113,"San Miguel County",14.39,17,-4.7,19.09
CO-115,"Sedgwick County",17.84,67,-0.22,18.06
CO-117,"Summit County",22.74,28,-3.78,26.52
CO-119,"Teller County",20.93,90,1.77,19.16
CO-121,"Washington County",15.05,45,-1.41,16.46
CO-123,"Weld County",13.54,57,-0.29,13.83
CO-125,"Yuma County",16.45,47,-1.06,17.51
CT-001,"Fairfield County",45.63,49,-2.2,47.83
CT-003,"Hartford County",54.88,103,8.34,46.54
CT-005,"Litchfield County",53.28,93,5.05,48.23
CT-007,"Middlesex County",50.2,82,3.4,46.8
CT-009,"New Haven County",49.39,76,1.84,47.55
CT-011,"New London County",46.04,64,0.35,45.69
CT-013,"Tolland County",55.75,116,10.1,45.65
CT-015,"Windham County",54.76,109,9.01,45.75
DE-001,"Kent County",53.76,116,10.69,43.07
DE-003,"New Castle County",46.09,82,2.9,43.19
DE-005,"Sussex County",57.63,123,14.0,43.63
FL-001,"Alachua County",65.17,121,12.59,52.58
FL-003,"Baker County",62.03,114,10.5,51.53
FL-005,"Bay County",72.49,115,14.0,58.49
FL-007,"Bradford County",65.12,120,12.84,52.28
FL-009,"Brevard County",49.88,63,-0.57,50.45
FL-011,"Broward County",64.79,100,7.76,57.03
FL-013,"Calhoun County",74.04,120,15.95,58.09
FL-015,"Charlotte County",56.19,90,5.36,50.83
FL-017,"Citrus County",59.7,102,6.4,53.3
FL-019,"Clay County",63.28,112,11.42,51.86
FL-021,"Collier County",52.48,69,0.4,52.08
FL-023,"Columbia County",63.08,116,11.55,51.53
FL-027,"DeSoto County",54.15,77,2.82,51.33
FL-029,"Dixie County",67.76,119,14.08,53.68
FL-031,"Duval County",60.48,113,10.26,50.22
FL-033,"Escambia County",82.41,122,20.19,62.22
FL-035,"Flagler County",54.79,81,2.95,51.84
FL-037,"Franklin County",75.63,120,17.4,58.23
FL-039,"Gadsden County",66.43,108,9.86,56.57
FL-041,"Gilchrist County",65.18,118,12.42,52.76
FL-043,"Glades County",48.39,53,-1.85,50.24
FL-045,"Gulf County",75.98,118,17.51,58.47
FL-047,"Hamilton County",58.52,98,6.69,51.83
FL-049,"Hardee County",48.44,37,-4.01,52.45
FL-051,"Hendry County",47.31,43,-4.51,51.82
FL-053,"Hernando County",55.79,78,2.3,53.49
FL-055,"Highlands County",46.61,39,-3.83,50.44
FL-057,"Hillsborough County",54.22,70,1.93,52.29
FL-059,"Holmes County",76.96,121,19.31,57.65
FL-061,"Indian River County",53.35,76,0.88,52.47
FL-063,"Jackson County",78.38,126,23.71,54.67
FL-065,"Jefferson County",60.63,95,5.58,55.05
FL-067,"Lafayette County",64.66,110,10.29,54.37
FL-069,"Lake County",50.04,59,-0.83,50.87
FL-071,"Lee County",54.52,89,4.51,50.01
FL-073,"Leon County",59.33,78,2.1,57.23
FL-075,"Levy County",61.47,105,8.54,52.93
FL-077,"Liberty County",71.11,115,12.3,58.81
FL-079,"Madison County",59.54,95,5.98,53.56
FL-081,"Manatee County",53.2,74,0.68,52.52
FL-083,"Marion County",57.68,94,4.99,52.69
FL-085,"Martin County",58.05,82,3.97,54.08
FL-086,"Miami-Dade County",60.68,91,5.55,55.13
FL-087,"Monroe County",54.97,87,4.13,50.84
FL-089,"Nassau County",59.18,107,8.6,50.58
FL-091,"Okaloosa County",79.23,122,18.57,60.66
FL-093,"Okeechobee County",50.97,62,0.19,50.78
FL-095,"Orange County",49.32,65,-1.04,50.36
FL-097,"Osceola County",47.09,46,-3.26,50.35
FL-099,"Palm Beach County",58.44,69,1.56,56.88
FL-101,"Pasco County",54.98,75,1.98,53
FL-103,"Pinellas County",53.53,79,2.0,51.53
FL-105,"Polk County",47.7,41,-4.03,51.73
FL-107,"Putnam County",61.57,103,8.42,53.15
FL-109,"St. Johns County",61.41,111,10.43,50.98
FL-111,"St. Lucie County",57.96,89,5.18,52.78
FL-113,"Santa Rosa County",83.1,122,21.09,62.01
FL-115,"Sarasota County",54.02,70,1.95,52.07
FL-117,"Seminole County",51.59,74,1.09,50.5
FL-119,"Sumter County",53.34,72,1.02,52.32
FL-121,"Suwannee County",62.21,107,9.07,53.14
FL-123,"Taylor County",62.17,97,6.63,55.54
FL-125,"Union County",64.77,120,13.03,51.74
FL-127,"Volusia County",53.55,81,2.66,50.89
FL-129,"Wakulla County",61.31,84,3.14,58.17
FL-131,"Walton County",77.57,120,17.47,60.1
FL-133,"Washington County",74.19,117,16.87,57.32
GA-001,"Appling County",56.56,112,8.62,47.94
GA-003,"Atkinson County",58.22,113,9.48,48.74
GA-005,"Bacon County",53.22,100,5.03,48.19
GA-007,"Baker County",63.51,111,11.83,51.68
GA-009,"Baldwin County",49.07,83,2.75,46.32
GA-011,"Banks County",58.46,90,5.63,52.83
GA-013,"Barrow County",57.62,96,7.08,50.54
GA-015,"Bartow County",58.23,99,7.06,51.17
GA-017,"Ben Hill County",57.55,111,10.04,47.51
GA-019,"Berrien County",64.53,120,16.14,48.39
GA-021,"Bibb County",52.42,101,6.11,46.31
GA-023,"Bleckley County",55.0,103,8.13,46.87
GA-025,"Brantley County",54.84,96,4.96,49.88
GA-027,"Brooks County",65.07,114,13.19,51.88
GA-029,"Bryan County",54.63,100,5.72,48.91
GA-031,"Bulloch County",56.12,109,8.63,47.49
GA-033,"Burke County",49.2,97,3.81,45.39
GA-035,"Butts County",48.96,59,-0.24,49.2
GA-037,"Calhoun County",63.64,112,11.78,51.86
GA-039,"Camden County",56.88,101,5.99,50.89
GA-043,"Candler County",57.89,115,10.98,46.91
GA-045,"Carroll County",65.44,112,12.04,53.4
GA-047,"Catoosa County",64.6,114,11.66,52.94
GA-049,"Charlton County",57.8,104,7.56,50.24
GA-051,"Chatham County",49.35,73,0.36,48.99
GA-053,"Chattahoochee County",57.65,106,9.03,48.62
GA-055,"Chattooga County",68.24,114,13.44,54.8
GA-057,"Cherokee County",58.11,82,4.64,53.47
GA-059,"Clarke County",53.52,82,3.73,49.79
GA-061,"Clay County",68.72,118,16.56,52.16
GA-063,"Clayton County",57.21,94,7.26,49.95
GA-065,"Clinch County",56.93,106,7.13,49.8
GA-067,"Cobb County",58.61,103,7.54,51.07
GA-069,"Coffee County",56.73,113,8.56,48.17
GA-071,"Colquitt County",64.66,116,14.51,50.15
GA-073,"Columbia County",48.09,84,2.16,45.93
GA-075,"Cook County",65.48,118,16.24,49.24
GA-077,"Coweta County",56.94,93,5.77,51.17
GA-079,"Crawford County",53.48,95,5.48,48
GA-081,"Crisp County",51.09,85,4.12,46.97
GA-083,"Dade County",66.74,116,12.62,54.12
