September 2020 - August 2021 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 126 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",65.2,111,1.3,63.9
AL-003,"Baldwin County",67.7,100,0.9,66.8
AL-005,"Barbour County",65.0,70,0.2,64.8
AL-007,"Bibb County",63.0,70,0.2,62.8
AL-009,"Blount County",61.9,106,1.2,60.7
AL-011,"Bullock County",65.1,102,1.0,64.1
AL-013,"Butler County",66.0,114,1.4,64.6
AL-015,"Calhoun County",62.3,107,1.3,61
AL-017,"Chambers County",62.3,90,0.7,61.6
AL-019,"Cherokee County",61.4,92,0.8,60.6
AL-021,"Chilton County",63.6,95,0.8,62.8
AL-023,"Choctaw County",65.1,84,0.6,64.5
AL-025,"Clarke County",66.1,108,1.2,64.9
AL-027,"Clay County",61.6,100,0.9,60.7
AL-029,"Cleburne County",61.4,112,1.5,59.9
AL-031,"Coffee County",66.2,92,0.8,65.4
AL-033,"Colbert County",60.9,96,1.0,59.9
AL-035,"Conecuh County",67.0,117,1.5,65.5
AL-037,"Coosa County",63.1,93,0.9,62.2
AL-039,"Covington County",66.5,100,1.0,65.5
AL-041,"Crenshaw County",65.5,103,1.1,64.4
AL-043,"Cullman County",61.2,90,0.9,60.3
AL-045,"Dale County",66.3,89,0.7,65.6
AL-047,"Dallas County",65.3,99,1.0,64.3
AL-049,"DeKalb County",59.6,71,0.4,59.2
AL-051,"Elmore County",65.2,115,1.4,63.8
AL-053,"Escambia County",67.2,108,1.2,66
AL-055,"Etowah County",61.8,93,0.9,60.9
AL-057,"Fayette County",62.3,75,0.4,61.9
AL-059,"Franklin County",60.6,85,0.6,60
AL-061,"Geneva County",66.9,97,0.9,66
AL-063,"Greene County",63.9,66,0.0,63.9
AL-065,"Hale County",63.6,51,-0.1,63.7
AL-067,"Henry County",66.3,86,0.6,65.7
AL-069,"Houston County",67.5,105,1.0,66.5
AL-071,"Jackson County",59.9,77,0.4,59.5
AL-073,"Jefferson County",62.6,90,0.8,61.8
AL-075,"Lamar County",62.2,61,0.2,62
AL-077,"Lauderdale County",60.5,98,1.0,59.5
AL-079,"Lawrence County",60.2,67,0.1,60.1
AL-081,"Lee County",63.5,78,0.5,63
AL-083,"Limestone County",59.9,56,0.0,59.9
AL-085,"Lowndes County",66.0,114,1.4,64.6
AL-087,"Macon County",65.0,102,1.0,64
AL-089,"Madison County",60.1,61,0.1,60
AL-091,"Marengo County",64.8,78,0.5,64.3
AL-093,"Marion County",61.2,72,0.4,60.8
AL-095,"Marshall County",61.1,88,0.7,60.4
AL-097,"Mobile County",67.5,105,1.1,66.4
AL-099,"Monroe County",66.8,117,1.7,65.1
AL-101,"Montgomery County",66.3,118,1.8,64.5
AL-103,"Morgan County",60.7,77,0.4,60.3
AL-105,"Perry County",63.9,74,0.3,63.6
AL-107,"Pickens County",63.2,67,0.1,63.1
AL-109,"Pike County",65.4,91,0.8,64.6
AL-111,"Randolph County",61.7,109,1.2,60.5
AL-113,"Russell County",64.3,59,0.1,64.2
AL-115,"St. Clair County",62.2,99,1.1,61.1
AL-117,"Shelby County",62.7,87,0.6,62.1
AL-119,"Sumter County",64.4,76,0.3,64.1
AL-121,"Talladega County",62.6,94,0.8,61.8
AL-123,"Tallapoosa County",63.0,97,0.8,62.2
AL-125,"Tuscaloosa County",63.0,57,-0.1,63.1
AL-127,"Walker County",62.1,78,0.5,61.6
AL-129,"Washington County",66.3,98,0.9,65.4
AL-131,"Wilcox County",65.9,106,1.1,64.8
AL-133,"Winston County",60.4,68,0.2,60.2
AZ-001,"Apache County",52.0,119,2.3,49.7
AZ-003,"Cochise County",62.8,121,2.5,60.3
AZ-005,"Coconino County",55.0,124,3.3,51.7
AZ-007,"Gila County",61.7,122,3.1,58.6
AZ-009,"Graham County",62.7,119,2.4,60.3
AZ-011,"Greenlee County",58.2,120,2.5,55.7
AZ-012,"La Paz County",73.2,120,2.9,70.3
AZ-013,"Maricopa County",72.6,123,3.4,69.2
AZ-015,"Mohave County",64.6,122,3.2,61.4
AZ-017,"Navajo County",53.8,120,2.6,51.2
AZ-019,"Pima County",69.4,122,2.9,66.5
AZ-021,"Pinal County",70.6,122,2.9,67.7
AZ-023,"Santa Cruz County",62.2,121,2.3,59.9
AZ-025,"Yavapai County",61.6,124,3.3,58.3
AZ-027,"Yuma County",74.2,121,3.4,70.8
AR-001,"Arkansas County",62.0,54,-0.1,62.1
