September 2020 - August 2021 Contiguous U.S. County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 126 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",76.3,81,0.6,75.7
AL-003,"Baldwin County",77.2,52,-0.2,77.4
AL-005,"Barbour County",75.9,43,-0.6,76.5
AL-007,"Bibb County",74.3,47,-0.5,74.8
AL-009,"Blount County",71.7,29,-1.0,72.7
AL-011,"Bullock County",75.8,64,0.0,75.8
AL-013,"Butler County",77.3,89,0.7,76.6
AL-015,"Calhoun County",73.2,66,0.1,73.1
AL-017,"Chambers County",74.0,55,-0.2,74.2
AL-019,"Cherokee County",72.0,42,-0.6,72.6
AL-021,"Chilton County",74.9,68,0.1,74.8
AL-023,"Choctaw County",75.8,34,-0.8,76.6
AL-025,"Clarke County",76.7,54,-0.2,76.9
AL-027,"Clay County",73.1,61,-0.1,73.2
AL-029,"Cleburne County",72.4,70,0.2,72.2
AL-031,"Coffee County",77.8,89,0.7,77.1
AL-033,"Colbert County",71.8,47,-0.6,72.4
AL-035,"Conecuh County",78.1,86,0.6,77.5
AL-037,"Coosa County",74.5,60,-0.1,74.6
AL-039,"Covington County",78.1,79,0.3,77.8
AL-041,"Crenshaw County",77.1,85,0.5,76.6
AL-043,"Cullman County",70.8,12,-1.8,72.6
AL-045,"Dale County",77.4,83,0.5,76.9
AL-047,"Dallas County",76.2,78,0.4,75.8
AL-049,"DeKalb County",69.6,35,-0.8,70.4
AL-051,"Elmore County",75.9,68,0.1,75.8
AL-053,"Escambia County",77.8,55,-0.2,78
AL-055,"Etowah County",72.2,50,-0.3,72.5
AL-057,"Fayette County",73.3,44,-0.6,73.9
AL-059,"Franklin County",71.2,36,-0.8,72
AL-061,"Geneva County",78.5,88,0.7,77.8
AL-063,"Greene County",74.7,38,-0.7,75.4
AL-065,"Hale County",74.5,39,-0.7,75.2
AL-067,"Henry County",76.8,57,-0.2,77
AL-069,"Houston County",78.4,89,0.7,77.7
AL-071,"Jackson County",69.9,38,-0.8,70.7
AL-073,"Jefferson County",73.7,52,-0.1,73.8
AL-075,"Lamar County",73.1,42,-0.9,74
AL-077,"Lauderdale County",71.3,43,-0.8,72.1
AL-079,"Lawrence County",70.9,29,-1.3,72.2
AL-081,"Lee County",74.6,46,-0.5,75.1
AL-083,"Limestone County",70.0,9,-1.9,71.9
AL-085,"Lowndes County",76.9,83,0.7,76.2
AL-087,"Macon County",75.8,56,-0.3,76.1
AL-089,"Madison County",70.5,28,-1.3,71.8
AL-091,"Marengo County",75.7,53,-0.2,75.9
AL-093,"Marion County",72.1,42,-0.7,72.8
AL-095,"Marshall County",71.0,42,-0.5,71.5
AL-097,"Mobile County",77.3,70,0.2,77.1
AL-099,"Monroe County",77.6,84,0.6,77
AL-101,"Montgomery County",76.9,80,0.6,76.3
AL-103,"Morgan County",70.7,22,-1.5,72.2
AL-105,"Perry County",74.8,52,-0.3,75.1
AL-107,"Pickens County",73.9,34,-0.9,74.8
AL-109,"Pike County",76.5,67,0.1,76.4
AL-111,"Randolph County",73.4,76,0.3,73.1
AL-113,"Russell County",75.8,44,-0.4,76.2
