September 2020 - August 2021 Contiguous U.S. County Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 126 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",54.2,118,2.1,52.1
AL-003,"Baldwin County",58.3,118,2.0,56.3
AL-005,"Barbour County",54.2,102,1.1,53.1
AL-007,"Bibb County",51.7,94,1.0,50.7
AL-009,"Blount County",52.0,121,3.5,48.5
AL-011,"Bullock County",54.4,117,1.9,52.5
AL-013,"Butler County",54.7,118,2.1,52.6
AL-015,"Calhoun County",51.4,120,2.6,48.8
AL-017,"Chambers County",50.6,108,1.6,49
AL-019,"Cherokee County",50.8,117,2.2,48.6
AL-021,"Chilton County",52.2,110,1.5,50.7
AL-023,"Choctaw County",54.4,118,2.0,52.4
AL-025,"Clarke County",55.4,119,2.6,52.8
AL-027,"Clay County",50.2,115,2.0,48.2
AL-029,"Cleburne County",50.4,122,2.8,47.6
AL-031,"Coffee County",54.6,96,0.8,53.8
AL-033,"Colbert County",50.1,120,2.6,47.5
AL-035,"Conecuh County",55.9,121,2.5,53.4
AL-037,"Coosa County",51.8,114,1.8,50
AL-039,"Covington County",55.0,112,1.6,53.4
AL-041,"Crenshaw County",54.0,115,1.6,52.4
AL-043,"Cullman County",51.5,121,3.5,48
AL-045,"Dale County",55.2,97,0.8,54.4
AL-047,"Dallas County",54.4,110,1.5,52.9
AL-049,"DeKalb County",49.6,108,1.5,48.1
AL-051,"Elmore County",54.4,120,2.6,51.8
AL-053,"Escambia County",56.5,120,2.6,53.9
AL-055,"Etowah County",51.4,116,2.2,49.2
AL-057,"Fayette County",51.4,106,1.3,50.1
AL-059,"Franklin County",49.9,116,2.0,47.9
AL-061,"Geneva County",55.4,100,1.0,54.4
AL-063,"Greene County",53.1,88,0.7,52.4
AL-065,"Hale County",52.8,83,0.5,52.3
AL-067,"Henry County",55.7,108,1.3,54.4
AL-069,"Houston County",56.6,110,1.3,55.3
AL-071,"Jackson County",49.8,110,1.6,48.2
AL-073,"Jefferson County",51.4,109,1.7,49.7
AL-075,"Lamar County",51.4,100,1.3,50.1
AL-077,"Lauderdale County",49.6,120,2.7,46.9
AL-079,"Lawrence County",49.5,111,1.5,48
AL-081,"Lee County",52.3,108,1.5,50.8
AL-083,"Limestone County",49.8,115,1.9,47.9
