"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate	Female Population	Fertility Rate	Average Age of Mother (years)	Average OE Gestational Age (weeks)	Average Birth Weight (grams)	Average Pre-pregnancy BMI	Average Number of Prenatal Visits
	"Baldwin County, AL"	"01003"	2329	223234	10.43	38550	60.42	28.16	38.31	3275.30	27.03	11.19
	"Calhoun County, AL"	"01015"	1383	113605	12.17	21995	62.88	26.52	38.23	3196.94	28.90	10.39
	"Etowah County, AL"	"01055"	1236	102268	12.09	18568	66.57	26.29	38.16	3202.56	28.82	9.25
	"Houston County, AL"	"01069"	1336	105882	12.62	20288	65.85	27.12	38.20	3184.65	29.45	11.33
	"Jefferson County, AL"	"01073"	8481	658573	12.88	135605	62.54	28.57	38.21	3173.64	27.81	10.12
	"Lee County, AL"	"01081"	1879	164542	11.42	38887	48.32	28.28	38.20	3204.12	27.35	12.54
	"Madison County, AL"	"01089"	4260	372909	11.42	73616	57.87	28.67	38.01	3176.59	27.98	10.04
	"Mobile County, AL"	"01097"	5372	413210	13.00	82882	64.82	27.16	37.88	3120.02	28.18	10.85
	"Montgomery County, AL"	"01101"	3167	226486	13.98	47489	66.69	27.44	37.88	3076.37	28.90	10.03
	"Morgan County, AL"	"01103"	1435	119679	11.99	21351	67.21	26.80	38.17	3205.49	28.65	9.82
	"Shelby County, AL"	"01117"	2206	217702	10.13	42489	51.92	29.62	38.40	3280.98	27.84	10.79
	"Tuscaloosa County, AL"	"01125"	2630	209355	12.56	49360	53.28	27.26	38.09	3163.25	28.21	8.77
	"Unidentified Counties, AL"	"01999"	22901	1975740	11.59	358238	63.93	26.76	38.11	3192.59	28.67	10.51
	"Anchorage Borough, AK"	"02020"	3945	288000	13.70	60897	64.78	29.17	38.53	3335.59	27.74	11.21
	"Unidentified Counties, AK"	"02999"	5877	443545	13.25	83405	70.46	28.44	38.57	3416.58	27.34	10.76
	"Cochise County, AZ"	"04003"	1341	125922	10.65	20429	65.64	27.62	38.58	3229.96	27.54	8.25
	"Coconino County, AZ"	"04005"	1369	143476	9.54	35873	38.16	28.87	38.46	3223.01	27.27	10.88
	"Maricopa County, AZ"	"04013"	51165	4485414	11.41	905812	56.49	28.78	38.44	3287.90	27.21	10.94
	"Mohave County, AZ"	"04015"	1733	212181	8.17	28172	61.51	27.17	38.49	3278.93	27.46	10.41
	"Navajo County, AZ"	"04017"	1359	110924	12.25	18792	72.32	27.52	38.25	3190.06	28.31	9.59
	"Pima County, AZ"	"04019"	10379	1047279	9.91	202523	51.25	28.49	38.46	3247.34	27.37	9.53
	"Pinal County, AZ"	"04021"	4505	462789	9.73	77322	58.26	27.89	38.44	3317.73	28.38	11.46
	"Yavapai County, AZ"	"04025"	1806	235099	7.68	30612	59.00	27.87	38.44	3248.52	26.63	11.26
	"Yuma County, AZ"	"04027"	2952	213787	13.81	38485	76.71	27.04	38.50	3325.37	28.52	9.27
	"Unidentified Counties, AZ"	"04999"	2766	241846	11.44	40738	67.90	27.27	38.32	3237.99	27.99	9.27
